No,Nama KKKS,Tahun,Bulan,Jenis Interaksi,Detail Aktivitas,Keterangan,Label
207,Zaratex N.V.,2024,Juni,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
208,Zaratex N.V.,2024,Juni,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
209,Zaratex N.V.,2024,Juni,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
210,Zaratex N.V.,2024,Juni,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
211,Conrad Asia Energy,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
212,Conrad Asia Energy,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
213,Conrad Asia Energy,2024,Juli,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
214,Conrad Asia Energy,2024,Juli,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
215,Conrad Asia Energy,2024,Juli,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
216,Conrad Asia Energy,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
217,Conrad Asia Energy,2024,Juli,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
218,PT Medco E&P Malaka,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
219,PT Medco E&P Malaka,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
220,PT Medco E&P Malaka,2024,Juli,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
221,PT Medco E&P Malaka,2024,Juli,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
222,PT Medco E&P Malaka,2024,Juli,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
223,PT Medco E&P Malaka,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
224,PT Medco E&P Malaka,2024,Juli,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
225,PT Pema Global Energi,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
226,PT Pema Global Energi,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
227,PT Pema Global Energi,2024,Juli,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
228,PT Pema Global Energi,2024,Juli,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
229,PT Pema Global Energi,2024,Juli,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
230,PT Pema Global Energi,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
231,PT Pema Global Energi,2024,Juli,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
232,Triangle Pase,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
233,Triangle Pase,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
234,Triangle Pase,2024,Juli,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
235,Triangle Pase,2024,Juli,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
236,Triangle Pase,2024,Juli,Partisipasi,Kegiatan CSR Bersama,Koordinasi program pemberdayaan masyarakat sangat baik,Harmonis
237,Triangle Pase,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
238,Triangle Pase,2024,Juli,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
239,Zaratex N.V.,2024,Juli,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
240,Zaratex N.V.,2024,Juli,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
241,Zaratex N.V.,2024,Juli,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
242,Zaratex N.V.,2024,Juli,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
243,Zaratex N.V.,2024,Juli,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
244,Zaratex N.V.,2024,Juli,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
245,Zaratex N.V.,2024,Juli,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
246,Conrad Asia Energy,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
247,Conrad Asia Energy,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
248,Conrad Asia Energy,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
249,Conrad Asia Energy,2024,Agustus,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
250,Conrad Asia Energy,2024,Agustus,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,Harmonis
251,Conrad Asia Energy,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
252,Conrad Asia Energy,2024,Agustus,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
253,PT Medco E&P Malaka,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
254,PT Medco E&P Malaka,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
255,PT Medco E&P Malaka,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
256,PT Medco E&P Malaka,2024,Agustus,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
257,PT Medco E&P Malaka,2024,Agustus,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
258,PT Medco E&P Malaka,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
259,PT Medco E&P Malaka,2024,Agustus,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
260,PT Pema Global Energi,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
261,PT Pema Global Energi,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
262,PT Pema Global Energi,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
263,PT Pema Global Energi,2024,Agustus,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
264,PT Pema Global Energi,2024,Agustus,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
265,PT Pema Global Energi,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
266,PT Pema Global Energi,2024,Agustus,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
267,Triangle Pase,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
268,Triangle Pase,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
269,Triangle Pase,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
270,Triangle Pase,2024,Agustus,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
271,Triangle Pase,2024,Agustus,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,Harmonis
272,Triangle Pase,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
273,Triangle Pase,2024,Agustus,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
274,Zaratex N.V.,2024,Agustus,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
275,Zaratex N.V.,2024,Agustus,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
276,Zaratex N.V.,2024,Agustus,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
277,Zaratex N.V.,2024,Agustus,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
278,Zaratex N.V.,2024,Agustus,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
279,Zaratex N.V.,2024,Agustus,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
280,Zaratex N.V.,2024,Agustus,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
281,Conrad Asia Energy,2024,September,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
282,Conrad Asia Energy,2024,September,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
283,Conrad Asia Energy,2024,September,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
284,Conrad Asia Energy,2024,September,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
285,Conrad Asia Energy,2024,September,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
286,Conrad Asia Energy,2024,September,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
287,Conrad Asia Energy,2024,September,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
288,PT Medco E&P Malaka,2024,September,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
289,PT Medco E&P Malaka,2024,September,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
290,PT Medco E&P Malaka,2024,September,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
291,PT Medco E&P Malaka,2024,September,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
292,PT Medco E&P Malaka,2024,September,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,Harmonis
293,PT Medco E&P Malaka,2024,September,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
294,PT Medco E&P Malaka,2024,September,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
295,PT Pema Global Energi,2024,September,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
296,PT Pema Global Energi,2024,September,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
297,PT Pema Global Energi,2024,September,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
298,PT Pema Global Energi,2024,September,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
299,PT Pema Global Energi,2024,September,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,Harmonis
300,PT Pema Global Energi,2024,September,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
301,PT Pema Global Energi,2024,September,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
302,Triangle Pase,2024,September,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
303,Triangle Pase,2024,September,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
304,Triangle Pase,2024,September,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
305,Triangle Pase,2024,September,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
306,Triangle Pase,2024,September,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,Harmonis
307,Triangle Pase,2024,September,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
308,Triangle Pase,2024,September,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
309,Zaratex N.V.,2024,September,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
310,Zaratex N.V.,2024,September,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
311,Zaratex N.V.,2024,September,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
312,Zaratex N.V.,2024,September,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
313,Zaratex N.V.,2024,September,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
314,Zaratex N.V.,2024,September,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
315,Zaratex N.V.,2024,September,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
316,Conrad Asia Energy,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
317,Conrad Asia Energy,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
318,Conrad Asia Energy,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
319,Conrad Asia Energy,2024,Oktober,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
320,Conrad Asia Energy,2024,Oktober,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,Harmonis
321,Conrad Asia Energy,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
322,Conrad Asia Energy,2024,Oktober,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
323,PT Medco E&P Malaka,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
324,PT Medco E&P Malaka,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
325,PT Medco E&P Malaka,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
326,PT Medco E&P Malaka,2024,Oktober,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
327,PT Medco E&P Malaka,2024,Oktober,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
328,PT Medco E&P Malaka,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
329,PT Medco E&P Malaka,2024,Oktober,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
330,PT Pema Global Energi,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
331,PT Pema Global Energi,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
332,PT Pema Global Energi,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
333,PT Pema Global Energi,2024,Oktober,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
334,PT Pema Global Energi,2024,Oktober,Partisipasi,Forum Vendor Lokal,Hadir namun kontribusi data vendor masih minim,Harmonis
335,PT Pema Global Energi,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
336,PT Pema Global Energi,2024,Oktober,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
337,Triangle Pase,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
338,Triangle Pase,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
339,Triangle Pase,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
340,Triangle Pase,2024,Oktober,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
341,Triangle Pase,2024,Oktober,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
342,Triangle Pase,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
343,Triangle Pase,2024,Oktober,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
344,Zaratex N.V.,2024,Oktober,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
345,Zaratex N.V.,2024,Oktober,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
346,Zaratex N.V.,2024,Oktober,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
347,Zaratex N.V.,2024,Oktober,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
348,Zaratex N.V.,2024,Oktober,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
349,Zaratex N.V.,2024,Oktober,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
350,Zaratex N.V.,2024,Oktober,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
351,Conrad Asia Energy,2024,November,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
352,Conrad Asia Energy,2024,November,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
353,Conrad Asia Energy,2024,November,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
354,Conrad Asia Energy,2024,November,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
355,Conrad Asia Energy,2024,November,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
356,Conrad Asia Energy,2024,November,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
357,Conrad Asia Energy,2024,November,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
358,PT Medco E&P Malaka,2024,November,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
359,PT Medco E&P Malaka,2024,November,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
360,PT Medco E&P Malaka,2024,November,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
361,PT Medco E&P Malaka,2024,November,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
362,PT Medco E&P Malaka,2024,November,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,Harmonis
363,PT Medco E&P Malaka,2024,November,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
364,PT Medco E&P Malaka,2024,November,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
365,PT Pema Global Energi,2024,November,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
366,PT Pema Global Energi,2024,November,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
367,PT Pema Global Energi,2024,November,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
368,PT Pema Global Energi,2024,November,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
369,PT Pema Global Energi,2024,November,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
370,PT Pema Global Energi,2024,November,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
371,PT Pema Global Energi,2024,November,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
372,Triangle Pase,2024,November,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
373,Triangle Pase,2024,November,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
374,Triangle Pase,2024,November,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
375,Triangle Pase,2024,November,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
376,Triangle Pase,2024,November,Partisipasi,Forum Kapasitas Nasional,Menjadi narasumber utama & membawa vendor lokal,Harmonis
377,Triangle Pase,2024,November,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
378,Triangle Pase,2024,November,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
379,Zaratex N.V.,2024,November,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
380,Zaratex N.V.,2024,November,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
381,Zaratex N.V.,2024,November,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
382,Zaratex N.V.,2024,November,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
383,Zaratex N.V.,2024,November,Partisipasi,Program Magang Lokal,Belum membuka kuota magang lokal / tidak kooperatif,Kurang Harmonis
384,Zaratex N.V.,2024,November,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
385,Zaratex N.V.,2024,November,Rapat,Technical Review Meeting,Data teknis tidak siap saat pemaparan,Kurang Harmonis
386,Conrad Asia Energy,2024,Desember,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
387,Conrad Asia Energy,2024,Desember,Komunikasi,Surat Korespondensi Resmi,Tanggapan diterima sesuai durasi standar,Harmonis
388,Conrad Asia Energy,2024,Desember,Laporan,Laporan Produksi Harian (Daily),Submit via portal tepat waktu & data sinkron,Harmonis
389,Conrad Asia Energy,2024,Desember,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
390,Conrad Asia Energy,2024,Desember,Partisipasi,Program Pengembangan SDM,Mengadakan sertifikasi gratis untuk teknisi lokal,Harmonis
391,Conrad Asia Energy,2024,Desember,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
392,Conrad Asia Energy,2024,Desember,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
393,PT Medco E&P Malaka,2024,Desember,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
394,PT Medco E&P Malaka,2024,Desember,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
395,PT Medco E&P Malaka,2024,Desember,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
396,PT Medco E&P Malaka,2024,Desember,Laporan,FQR (Financial Quarterly Report),"Dokumen lengkap, lampiran sesuai regulasi",Harmonis
397,PT Medco E&P Malaka,2024,Desember,Partisipasi,Workshop Teknis Migas,Proaktif berbagi studi kasus pengeboran,Harmonis
398,PT Medco E&P Malaka,2024,Desember,Rapat,MCM (Monthly Coordination Meeting),"Dihadiri GM/Manager, proaktif dalam diskusi",Harmonis
399,PT Medco E&P Malaka,2024,Desember,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
400,PT Pema Global Energi,2024,Desember,Komunikasi,Email Klarifikasi Teknis,Respon sangat cepat (< 24 jam),Harmonis
401,PT Pema Global Energi,2024,Desember,Komunikasi,Surat Korespondensi Resmi,Administrasi rapi & tindak lanjut cepat,Harmonis
402,PT Pema Global Energi,2024,Desember,Laporan,Laporan Produksi Harian (Daily),"Submit tepat waktu, ada revisi minor",Harmonis
403,PT Pema Global Energi,2024,Desember,Laporan,FQR (Financial Quarterly Report),Laporan diterima dengan catatan kecil,Harmonis
404,PT Pema Global Energi,2024,Desember,Partisipasi,Program Magang Lokal,Penyerapan tenaga kerja magang dari univ lokal,Harmonis
405,PT Pema Global Energi,2024,Desember,Rapat,MCM (Monthly Coordination Meeting),"Hadir diwakili staf teknis, cukup kooperatif",Harmonis
406,PT Pema Global Energi,2024,Desember,Rapat,Technical Review Meeting,Pemaparan data teknis sangat akurat & solutif,Harmonis
407,Triangle Pase,2024,Desember,Komunikasi,Email Klarifikasi Teknis,Tidak ada balasan setelah 3 hari kerja,Kurang Harmonis
408,Triangle Pase,2024,Desember,Komunikasi,Surat Korespondensi Resmi,Sering membutuhkan follow-up berkali-kali,Kurang Harmonis
409,Triangle Pase,2024,Desember,Laporan,Laporan Produksi Harian (Daily),Keterlambatan submit > 24 jam,Kurang Harmonis
410,Triangle Pase,2024,Desember,Laporan,FQR (Financial Quarterly Report),"Lampiran tidak lengkap, butuh revisi besar",Kurang Harmonis
411,Triangle Pase,2024,Desember,Partisipasi,Sosialisasi Lingkungan,Koordinasi program lingkungan sangat baik,Harmonis
412,Triangle Pase,2024,Desember,Rapat,MCM (Monthly Coordination Meeting),Tidak hadir tanpa konfirmasi/berhalangan,Kurang Harmonis
413,Triangle Pase,2024,Desember,Rapat,Technical Review Meeting,"Pemaparan cukup, ada tindak lanjut tambahan",Harmonis
414,Zaratex N.V.,2024,Desember,Komunikasi,Email Klarifikasi Teknis,Dibalas dalam 2-3 hari kerja,Harmonis
